Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth,600,0,140.0,151.42716595999985,135.59420800000055,514.709707999998,27.0,10.160901622844131,0.0,140,150,150,160,170,180,190,200,510,510,510
GET,/booking,600,0,220.0,227.64486902000027,201.07808399999882,793.4279579999987,55266.426666666666,10.160901622844131,0.0,220,220,230,230,250,260,270,770,790,790,790
POST,/booking,1399,0,150.0,154.0609801236598,136.21354200000013,797.516667,179.0,23.6918356172649,0.0,150,150,150,160,170,180,210,210,590,800,800
PUT,/booking/1007,1,0,166.56041699999946,166.56041699999946,166.56041699999946,166.56041699999946,150.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/1012,1,0,217.25941700000106,217.25941700000106,217.25941700000106,217.25941700000106,7.0,0.016934836038073553,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/booking/1016,1,0,143.1502499999997,143.1502499999997,143.1502499999997,143.1502499999997,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/103,1,0,147.62233300000105,147.62233300000105,147.62233300000105,147.62233300000105,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/103,1,0,144.06974999999989,144.06974999999989,144.06974999999989,144.06974999999989,191.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1031,1,0,151.6727919999994,151.6727919999994,151.6727919999994,151.6727919999994,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1038,1,0,147.91041699999852,147.91041699999852,147.91041699999852,147.91041699999852,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1042,1,0,145.9995000000003,145.9995000000003,145.9995000000003,145.9995000000003,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
